"_id","produto","quantidade","valido","data"
"ObjectId(""681efd8082a2ce25d9eb905e"")","Arroz Tipo 1 5kg",120,true,"2025-12-01T00:00:00.000Z"
"ObjectId(""681efd8082a2ce25d9eb905f"")","Feijão Preto 1kg",80,true,"2025-11-15T00:00:00.000Z"
"ObjectId(""681efd8082a2ce25d9eb9060"")","Macarrão Espaguete 500g",150,true,"2025-10-10T00:00:00.000Z"
"ObjectId(""681efd8082a2ce25d9eb9061"")","Óleo de Soja 900ml",200,false,"2024-12-31T00:00:00.000Z"
"ObjectId(""681efd8082a2ce25d9eb9062"")","Açúcar Refinado 1kg",100,true,"2026-01-20T00:00:00.000Z"
"ObjectId(""681efd8082a2ce25d9eb9063"")","Sal Refinado 1kg",90,true,"2026-03-15T00:00:00.000Z"
"ObjectId(""681efd8082a2ce25d9eb9064"")","Café Torrado 500g",75,true,"2025-09-30T00:00:00.000Z"
"ObjectId(""681efd8082a2ce25d9eb9065"")","Leite UHT Integral 1L",50,false,"2024-10-01T00:00:00.000Z"
"ObjectId(""681efd8082a2ce25d9eb9066"")","Farinha de Trigo 1kg",110,true,"2025-08-18T00:00:00.000Z"
"ObjectId(""681efd8082a2ce25d9eb9067"")","Molho de Tomate 340g",130,true,"2025-07-12T00:00:00.000Z"
